C/C=C(\C)C(=O)NCCN(C)c1nnc(C(F)(F)F)s1,ZINC001100018441,DEADRN
C#CCC1(C(=O)N2CC([C@@H](C)NC(=O)c3occc3C)C2)CCC1,ZINC001756129105,EEEDRN
COc1ccc(CC(=O)N2CCS(=O)(=O)[C@@H](C)[C@@H]2C)cc1F,ZINC000121601162,EDADRN
CCCC(=O)N1CCCN(S(=O)(=O)c2cc(C)c(F)cc2Cl)CC1,ZINC000370510771,GFADRN
Cc1ccccc1C[C@@H](C)C(=O)N(C)[C@@H]1CCCCNC1=O,ZINC000859105597,DEADRN
O=C(NCC1=CCCOC1)N1CC[C@@H](c2ccccc2F)C1,ZINC000288135206,DFADRN
CC(C)(C)N1CCN(C(=O)c2ccc(N)cc2)CC1,ZINC000048926104,CDADMN
COC(=O)Cc1cccc(NCc2nnc(C)n2C)c1,ZINC000272157885,CDADRN
O=C1CC[C@@]2(C(=O)NC[C@@H]3CC34CC4)Sc3ccccc3N12,ZINC000416061242,DFADRN
C[C@@H](C(=O)NC[C@@](C)(O)C(F)(F)F)c1ccccc1F,ZINC000340961445,CEADRN
CC[C@H]1CN(C(=O)Nc2ccc(N3CCSCC3)cc2)C[C@H]1O,ZINC000270688975,EEADRN
C[C@@H](NC(=O)CC(C)(C)C)C(=O)OCCN(C)Cc1ccc(F)cc1,ZINC000778489252,FFADMN
Cc1cccc(CN(C)S(=O)(=O)c2cnn(C(C)C)c2)c1,ZINC000266179167,DFADRN
CN(C)C(=O)Cc1ccc(NC[C@H]2CCCOC2)cc1,ZINC000111319307,CEADRN
Cc1ccc(S(C)(=O)=O)cc1C(=O)N(C)CCN(C)C,ZINC000267132063,CDADRN
Cc1ccccc1NC(=O)CN1CCN(C)C[C@@H]1Cc1ccccc1,ZINC000649831247,EFADMN
CCCCN(C)C(=O)[C@]1(O)CCc2ccccc2C1,ZINC000367352477,CEADRN
C/C(=C/C(=O)NCCC1CCS(=O)(=O)CC1)c1ccccc1,ZINC000768505001,DEADRN
O=C(C1CC1)N1CCN(Cc2cc(F)cc3cc[nH]c23)CC1,ZINC001249525072,DEADRN
C[C@H]1C[C@@H](NC(=O)c2ccccn2)CCN1C(=O)C1CC=CC1,ZINC000955599698,DEADRN
CCn1c(CS[C@@H](C)C(=O)OC)nc2c(F)cccc21,ZINC000154462677,CFADRN
C#CC1(O)CN(C(=O)c2ccc(Cl)cc2C(F)(F)F)C1,ZINC001472246647,DEEDRN
C=C[C@@H]1OCC[C@H]1C(=O)NC[C@@H](C)N(C)C(=O)c1cc(F)cc(Cl)c1,ZINC001487003357,FFEDRN
N#Cc1ccc(O[C@@H]2CCCN(CC(F)(F)F)C2=O)cc1,ZINC000160529838,CEEDRN
CN1Cc2ccccc2[C@H]1CNC(=O)C(=O)N1CC[C@H](c2cccnc2)C1,ZINC000867619669,FDADRN
Cn1ccnc1CN1C[C@H](F)C[C@@H]1CNC(=O)Cc1ccc(F)cc1,ZINC000351606354,EDADRN
O=C(c1cccc2c1COCC2)N1CC(F)(F)C(F)(F)C1,ZINC001334436691,DEADRN
C[C@@H]1CC[C@@H](CC(=O)Nc2ccc(C(=O)N(C)C)nc2)C1,ZINC000927002776,CFADRN
C=C(COC(=O)c1cc(Cl)ccc1C)C(=O)OCC,ZINC000753447344,CFEDRN
CC(=O)c1cccc(N2CCC[C@H](C(=O)NCC3CC3)C2)n1,ZINC000865447803,DEADRN
COC[C@@H](NC(=O)[C@@H](F)c1ccccc1)C(=O)OC,ZINC000769454106,CDADRN
CCOC1CCN(c2nnc(COc3cccc(C)c3)n2C)CC1,ZINC000669794823,EFADRN
Cc1cc(O)c(C(C)C)cc1C(=O)N1CCC[C@]2(CNC(=O)C2)C1,ZINC000436600969,EFADRN
Cn1c(NC[C@@H]2CCC(C)(C)O2)nc2c(F)cccc21,ZINC000355681200,CFADRN
Cc1nc(C)c(CN2CCN(c3ccccc3)C(=O)C2)[nH]1,ZINC001234635199,CDADRN
O=C(N[C@@H]1CN([C@H]2CCc3ccccc32)C[C@H]1O)c1c(F)cncc1F,ZINC001077068807,FDADMN
CC[C@@H](F)C(=O)N[C@@]1(C)CCN(C(=O)c2cc(C)c(C)cn2)C1,ZINC001400900229,DEADRN
COC(=O)[C@@H](Cc1ccc(F)cc1)OC(=O)CCC(C)=O,ZINC000800091233,CDADRN
O=C(CCC(F)F)NCC1CN(C(=O)Cc2ccsc2)C1,ZINC001416102650,DDADRN
O=C(NCc1cocn1)[C@H]1CCc2ccccc2O1,ZINC000665258275,CDADRN
O=C(Nc1ccsc1)C(=O)N1CC[C@H](c2c(F)cccc2F)C1,ZINC000185618426,EFADRN
CC1(C)CN(C(=O)[C@]2(C)CC(c3ccccc3Cl)=NO2)CCO1,ZINC001361798671,EFADRN
O=C1CCCN1C[C@H]1CCCCN1S(=O)(=O)c1c(F)cccc1OC(F)(F)F,ZINC000804993730,HFADRN
COC(=O)[C@@H]1CCN(C/C=C/Cl)c2ccccc21,ZINC000120671391,CFADRN
C[C@@H]1CN([C@@H]2CCN(c3ccccc3F)C2=O)CCS(=O)(=O)C1,ZINC000192102556,EDADRN
C=C(C)CN(CC)C(=O)c1cncc(F)c1Cl,ZINC000895523983,CFEDRN
COc1ccccc1C(=O)N[C@@H](C)CNC(=O)[C@H](C)CSC,ZINC001410461292,DDADRN
CC(=O)Nc1ccc(C)c(C(=O)N2CC[C@H](C)[C@@H]2CO)c1,ZINC000189404620,CDADRN
Cc1nc(CN(C)CCN(C)C(=O)CCc2ccccc2)oc1C,ZINC001379124382,EFADRN
CN(C)c1ccc(S(=O)(=O)N2CC[C@@]3(CCc4ccccc4O3)C2)cc1,ZINC000573289561,FFADRN
COC(=O)c1ccc(C(=O)N2CC[C@@H](OC)[C@@H](C)C2)nc1,ZINC001468200456,CDADRN
COc1ccccc1CS(=O)(=O)c1ccc(C(C)=O)cc1OC,ZINC000441326059,EFADRN
CCN(C(=O)[C@H]1Cc2ccc(F)cc21)C1CN(C(=O)C(C)(C)F)C1,ZINC000968312418,EEADRN
Cc1cccc([C@H]2C(=O)NCCN2C(=O)[C@H](C)OCC2CC2)c1,ZINC000620356180,DDADRN
Cc1ccnc(COC(=O)[C@@H]2CCN(C)C(=O)C2)c1,ZINC000791313280,CDADRN
C=CCOCCCC(=O)N1C[C@H]2CCN(C(=O)c3ccc(C)cc3C)C[C@H]21,ZINC001513818380,FFEDRN
COc1cc(CC(=O)N[C@H]2CCCc3cc(F)ccc32)ccn1,ZINC000613171256,DFADRN
CCCC(=O)N1C[C@H](CNC(=O)c2cc3ccccc3[nH]2)[C@@H](C)C1,ZINC000959332135,EFADRN
